,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,"CHIPS DE PAPAS ""SIN TACC"" - BOUTIQUE CHIPS","3850,00","3290,00",PRODUCTOS SIN TACC,2487
,,CHOCOLATE 100%  COBERTURA SEMIAMARGO x kg - COLONIAL,"75690,00","64560,00","AZUCAR, CACAO Y REPOSTERIA",2159
,,CHOCOLATE 80%  COBERTURA SEMIAMARGO x kg - COLONIAL,"62300,00","53140,00","AZUCAR, CACAO Y REPOSTERIA",1424
,,CHUCRUT X 600 GR,"11330,00","9090,00",ENCURTIDOS,1204
,,DATILES DE EGIPTO C/C X KG,"9700,00","7790,00",DESHIDRATADOS,1242
,,DELANTAL JEAN,"40000,00","35000,00",PALADEAR HOME,2126
,,DELANTAL LINO ,"35000,00","33000,00",PALADEAR HOME,1003
,,DIENTE DE LEON XKG,"11980,00","9580,00",INFUSIONES Y HIERBAS,2072
,,"DIFUSOR ""ILUMINARTE"" X 125 ml","5380,00","4910,00",PALADEAR HOME,2400
,,DULCE BATATA SIN AZUCAR ORIETA 400GR,"4630,00","3950,00",PRODUCTOS SIN TACC,2511
,,DULCE DE ALCAYOTA X 500 GR,"3390,00","2980,00","DULCES, MIEL Y CHOCOLATES",1244
,,"DULCE DE LECHE CON STEVIA DOÑA MAGDALENA ""SIN TACC""","8540,00","7280,00","DULCES, MIEL Y CHOCOLATES",2134
,,"DULCE DE LECHE DE COCO VEGANO ""SIN TACC"" - DOÑA MAGDALENA","8980,00","7900,00","DULCES, MIEL Y CHOCOLATES",2145
,,DULCE DE MEMBRILLO PIZARRO 454gr,"5520,00","4710,00","DULCES, MIEL Y CHOCOLATES",2510
,,DULCE DE MEMBRILLO X 1 KG,"6350,00","5090,00","DULCES, MIEL Y CHOCOLATES",1254
,,DULCE DE MEMBRILLO X 500 GR,"7060,00","5690,00","DULCES, MIEL Y CHOCOLATES",1253
,,DULCE MEMBRILLO SIN AZUCAR ORIETA 400gr,"6190,00","5280,00",PRODUCTOS SIN TACC,2512
,,"ELECTROLITOS ""SUMA"" - Sobre x 9 g","3030,00","2580,00",SUPLEMENTOS,2485
,,ENELDO SEMILLAS X KG,"11390,00","9130,00",SEMILLAS,1259
,,ENVIO,"0,00","0,00",PRODUCTOS VARIOS,2388
,,"EQUINACEA TINTURA MADRE 60 cc ""EL NATURALISTA""","7010,00","5980,00",SUPLEMENTOS,2402
,,"ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS"" ","1310,00","1080,00","AZUCAR, CACAO Y REPOSTERIA",1263
,,ESENCIA DE AGUA DE AZAHAR 60 cc,"3300,00","2910,00","AZUCAR, CACAO Y REPOSTERIA",2310
,,ESENCIA DE PAN DULCE 60 cc,"4000,00","3640,00","AZUCAR, CACAO Y REPOSTERIA",2309
,,EUCALIPTUS X KG,"15830,00","12680,00",INFUSIONES Y HIERBAS,2032
,,"EXTRACTO DE VAINILLA NATURAL X 100 CC ""EL CASTILLO""","13910,00","12930,00","AZUCAR, CACAO Y REPOSTERIA",2257
,,FECULA DE MANDIOCA X KG,"4050,00","3300,00",HARINAS,1269
,,"FIDEOS DE ARROZ ""PARTY BECK"" X 280GR","4220,00","3530,00",PRODUCTOS SIN TACC,1863
,,"FIDEOS DE ARROZ VERDURA ""PARTY BECK"" X280GR","4320,00","3610,00",PRODUCTOS SIN TACC,1685
,,FILTROS PARA CAFE X 10 unidades,"1520,00","1400,00",PALADEAR HOME,2384
,,FINAS HIERBAS X KG.,"18910,00","15190,00",ESPECIAS,1270
,,"FLEBOTONICO X30 COMPRIMIDOS ""EL NATURALISTA""","8850,00","6970,00",SUPLEMENTOS,2217
,,FRAMBUESAS CONGELADAS X KG,"25500,00","21750,00",PRODUCTOS CONGELADOS,2470
,,FRASCO BLEND DE TE - CHICO,"2490,00","2290,00",INFUSIONES Y HIERBAS,2429
,,FRASCO BLEND DE TE - GRANDE,"3490,00","3290,00",INFUSIONES Y HIERBAS,2430
,,FRASCO VIDRIO,"7500,00","6023,33",PALADEAR HOME,2450
,,FRUTA ESCURRIDA X KG,"6430,00","5180,00",DESHIDRATADOS,1271
,,FRUTA MULTICOLOR X KG,"11070,00","8880,00",DESHIDRATADOS,1954
,,GALLETAS CACHAFAS ORGANICAS,"3260,00","2790,00",SNACK,1895
,,GALLETAS CACHAFAZ INTEGRALES,"4120,00","3510,00",SNACK,2115
,,GALLETAS SIN TACC X KG,"15500,00","14000,00",PRODUCTOS SIN TACC,2280
,,"GALLETAS SLIM DOS HERMANO ""SIN TACC""","1610,00","1380,00",PRODUCTOS SIN TACC,2111
,,GALLETITAS DELICEL (SIN TACC) x 150 g,"3630,00","3100,00",PRODUCTOS SIN TACC,2354
,,GARAM MASALA XKG,"29850,00","23890,00",ESPECIAS,2101
,,GARBANZOS X KG,"3670,00","2960,00",GRANOS Y LEGUMBRES,2335
,,GARRAPIÑADA DE MANI X KG,"10660,00","8550,00","DULCES, MIEL Y CHOCOLATES",1276
,,GELATINA SIN SABOR X KG,"25930,00","20750,00",ESPECIAS,1702
,,GERMEN DE TRIGO NATURAL X KG.,"2870,00","2300,00",HARINAS,1281
,,"GIN DE AUTOR LODON DRY x 750 cc ""TIERRA SANTA"" ","12860,00","10970,00",VINOS,2304
,,"GIN DE AUTOR SABORIZADO x 500 cc ""TIERRA SANTA"" ","9240,00","8150,00",VINOS,2301
,,"GINKGO BILOBA FORTE X 10 COMP. ""EL NATURALISTA""","2310,00","1970,00",SUPLEMENTOS,2082
,,"GINSENG + MAGNESIO X 10 COMP. ""EL NATURALISTA""","2480,00","2390,00",SUPLEMENTOS,2084
,,"GLICINATO DE MAGNESIO ""EL NATURALISA""","9570,00","8160,00",SUPLEMENTOS,2078
,,GLUTEN DE TRIGO X KG,"11270,00","9030,00",HARINAS,1282
,,GOMA XANTICA ,"40410,00","38040,00","AZUCAR, CACAO Y REPOSTERIA",2408
,,GOTITAS DE CHOCO BLANCO X KG,"16600,00","14160,00","DULCES, MIEL Y CHOCOLATES",2241
,,GOTITAS DE CHOCO SEMIAMARGO X KG,"16540,00","14110,00","DULCES, MIEL Y CHOCOLATES",2007
,,GRANOLA CON CHOCO X KG,"8930,00","7190,00",CEREALES,1912
,,GRANOLA CON MIEL X KG,"15030,00","12060,00",CEREALES,1290
,,GRANOLA MIX BERRIES X KG,"13070,00","10490,00",CEREALES,1286
,,GRANOLA MIX ENERGET X KG,"13070,00","10490,00",CEREALES,1287
